id,left,top,right,bottom,GridArea,SlumArea,NUMHospita,RoadArea,PopDensmea,NDVImean,PercBuiltU,Imperperc,NTLmean
104,8109383.973480461165309,2164548.496106089558452,8111383.973480461165309,2162548.496106089558452,3554033.968484702520072,167315.504,11.000000000000000,320930.781,359.965246493999757,0.151884300543375,45.392,35.193,32.6292153011504
105,8109383.973480461165309,2162548.496106089558452,8111383.973480461165309,2160548.496106089558452,3554753.359006267040968,71174.351,12.000000000000000,259548.893,334.231251538284425,0.135888356018440,36.103,33.061,37.0064151076196
106,8109383.973480461165309,2160548.496106089558452,8111383.973480461165309,2158548.496106089558452,3555472.276182070374489,961516.488,17.000000000000000,545053.997,373.920645715968703,0.119539574720920,65.693,61.950,31.1889391620618
107,8109383.973480461165309,2158548.496106089558452,8111383.973480461165309,2156548.496106089558452,3556190.719547718763351,181859.595,8.000000000000000,403871.934,379.548989650181340,0.154871688498238,47.508,32.111,29.1576151103705
108,8109383.973480461165309,2156548.496106089558452,8111383.973480461165309,2154548.496106089558452,3556908.688631150405854,102381.058,3.000000000000000,292756.836,347.279439514952799,0.146977890039397,40.075,37.926,36.738235317463
109,8109383.973480461165309,2154548.496106089558452,8111383.973480461165309,2152548.496106089558452,3557626.182962495833635,42409.022,4.000000000000000,190222.356,300.967985784728398,0.074758137027101,32.280,32.984,21.838535706838
116,8111383.973480461165309,2186548.496106089558452,8113383.973480461165309,2184548.496106089558452,3546089.566094441339374,326809.963,8.000000000000000,209074.071,276.529861786080630,0.197160127321622,21.147,20.352,17.9381069419753
117,8111383.973480461165309,2184548.496106089558452,8113383.973480461165309,2182548.496106089558452,3546814.132457214873284,666442.504,22.000000000000000,172134.240,325.925574057442816,0.240057302975480,13.652,20.008,14.1885413658505
118,8111383.973480461165309,2182548.496106089558452,8113383.973480461165309,2180548.496106089558452,3547538.230632944963872,92079.921,23.000000000000000,186522.757,275.547129053465085,0.260101770901815,10.593,5.069,12.3702578486411
119,8111383.973480461165309,2180548.496106089558452,8113383.973480461165309,2178548.496106089558452,3548261.860159427858889,293654.826,13.000000000000000,297590.161,361.618213498914542,0.170354388128088,37.798,24.632,22.8577196962957
